idhere,H_mag,family
2006 UB364,15.74,Background
2007 RA251,16.02,Background
2007 RM275,14.94,Background
2007 RJ371,16.18,Background
2007 TB185,16.01,Potomac
2007 TN460,15.45,Hilda
2007 VO127,16.23,Background
2007 VC133,16.06,Hilda
2007 VB294,15.71,Background
2007 WK73,16.24,Background
2008 AA145,15.89,Schubart
2008 AX146,16.06,Schubart
2008 CU217,15.32,Schubart
2008 VR85,16.04,Background
2008 WH162,16.13,Background
2008 XG19,16.02,Schubart
2008 YW174,16.55,Schubart
2009 AO6,16.36,Schubart
2009 AS51,16.3,Background
2009 CY66,15.69,Schubart
2009 DH107,15.85,Schubart
2009 EN40,15.68,Background
2010 FN99,15.66,Background
2011 PB16,15.76,Potomac
2011 UO335,16.25,Schubart
2011 UZ340,16.72,Schubart
2012 UG185,15.35,Background
2012 WA5,15.69,Background
2013 QL25,15.68,Background
2013 VS58,16.18,Background
2014 BJ28,15.22,Background
2014 OZ105,16.46,Schubart
2014 OR126,16.24,Background
2014 OM211,15.82,Background
2014 OO348,15.85,Hilda
2014 QB125,16.16,Background
2014 QL152,16.11,Hilda
2014 QC158,16.16,Background
2014 QV206,16.26,Schubart
2014 QZ442,16.76,Schubart
2014 QW451,16.04,Background
2014 RH,14.13,Background
2014 RE6,16.23,Hilda
2014 RL39,16.26,Background
2014 RD41,15.65,Hilda
2014 SF127,16.29,Background
2014 SK253,15.59,Potomac
2014 SX311,15.91,Schubart
2014 UE82,16.25,Schubart
2014 UM101,15.98,Background
2014 UV124,15.68,Hilda
2014 UY222,15.46,Background
2014 WL24,16.12,Schubart
2014 WJ139,16.16,Schubart
2014 WP502,16.26,Background
2014 XL29,15.51,Background
2015 BO206,16.2,Background
2015 BU225,16.09,Background
2015 QW11,15.46,Potomac
2015 RP72,16.48,Schubart
2015 TG7,15.39,Hilda
2015 TE146,16.21,Schubart
2015 TG196,15.79,Background
2015 TE278,15.98,Potomac
2015 UA4,16.39,Schubart
2015 VH101,16.35,Schubart
2015 VF126,15.73,Background
2015 XE26,16.42,Schubart
2015 XV212,16.44,Schubart
2016 AR77,16.06,Schubart
2016 AH189,16.12,Background
2016 AV349,16.17,Schubart
2016 BU38,16.33,Schubart
2016 BZ81,15.97,Schubart
2016 CZ151,16.2,Schubart
2016 CZ207,15.45,Background
2016 CC266,16.1,Schubart
2016 CE326,16.18,Schubart
2016 DZ4,15.7,Hilda
2016 UC74,16.46,Background
2016 XC19,15.64,Potomac
2017 BG88,16.18,Guinevere
2017 FQ77,15.48,Schubart
2017 FQ116,15.68,Potomac
2018 AG67,15.66,Hilda
2018 GG17,15.75,Hilda
2019 GR25,15.68,Potomac
2019 JQ68,16.11,Background
2019 KD39,16.27,Schubart
2022 QH265,16.48,Schubart
2001 OF115,15.48,Hilda
2003 GX57,15.51,Potomac
2003 SW310,15.42,Background
2005 QP142,15.59,Schubart
2005 QH202,16.21,Hilda
2005 SL71,16.02,Background
2005 TC216,15.65,Background
2005 UF62,15.98,Potomac
2006 QY19,15.15,Hilda
2006 SO375,15.53,Potomac
2006 SC387,16.48,Schubart
2006 SJ412,16.2,Hilda
2006 VT57,15.95,Francette
2006 VJ105,15.97,Schubart
2006 WO143,15.75,Background
2006 WT225,16.09,Hilda
2007 TO142,16.25,Background
2008 DM96,16.21,Schubart
2008 EW180,15.62,Background
2008 GK136,15.6,Potomac
2008 RS147,15.85,Background
2009 SB394,15.37,Background
2009 YY32,15.93,Background
2010 LD136,16.04,Background
2011 HQ66,15.47,Potomac
2011 KC39,15.98,Schubart
2011 QN101,15.75,Hilda
2011 SC92,16.15,Hilda
2011 SV268,15.49,Background
2012 TJ191,15.37,Hilda
2012 TQ324,15.23,Potomac
2012 VS105,15.67,Background
2014 DH1,15.46,Potomac
2014 OE15,16.43,Schubart
2014 RT2,16.05,Background
2014 TL114,15.64,Background
2014 VR34,16.44,Potomac
2014 WK162,16.16,Background
2014 WC254,15.92,Hilda
2014 WG355,15.89,Potomac
2014 WE506,15.34,Hilda
2014 XV37,15.87,Schubart
2015 BA327,15.87,Hilda
2015 BB476,16.14,Background
2015 CX9,16.02,Schubart
2015 CX19,15.41,Potomac
2015 DZ136,15.04,Background
2015 DV200,15.59,Background
2015 VS118,16.49,Hilda
2015 XV11,16.11,Hilda
2016 AQ278,15.81,Background
2016 AZ294,16.25,Potomac
2016 CL9,16.1,Potomac
2016 CD54,15.87,Schubart
2016 CP324,15.99,Background
2016 CH369,16.05,Background
2016 ET133,15.49,Schubart
2016 EN204,16.57,Background
2016 FJ26,15.57,Potomac
2016 GR32,16.56,Schubart
2016 GU210,16.26,Background
2017 FP159,15.95,Schubart
2017 HD40,15.87,Background
2019 QC13,16.16,Background
2000 JT96,15.47,Potomac
2002 NX77,16.18,Schubart
2002 VK57,15.64,Background
2002 VN149,15.54,Background
2003 TS27,15.52,Background
2004 VR69,15.54,Francette
2004 XH91,15.48,Hilda
2005 CQ82,15.75,Background
2005 EB186,15.51,Hilda
2005 GZ237,15.75,Background
2005 TV22,16.21,Schubart
2005 UV331,16.08,Hilda
2005 XF98,16.23,Schubart
2005 XQ119,16.2,Background
2006 BE35,16.09,Background
2006 GL33,15.69,Schubart
2006 KK127,15.82,Background
2006 WW231,16.13,Background
2007 BC13,16.37,Background
2007 BK33,16.39,Hilda
2007 FD49,15.23,Background
2007 HP100,15.33,Hilda
2007 HG105,15.99,Background
2008 AR141,15.76,Potomac
2008 CT245,16.18,Schubart
2008 CV248,16.14,Background
2008 ER12,16.09,Background
2008 EE112,16.2,Background
2008 EV188,16.21,Hilda
2008 FH148,16.52,Hilda
2008 GO58,16.49,Guinevere
2008 RQ149,15.99,Background
2008 SZ314,15.99,Background
2008 VH107,15.41,Background
2009 HU26,16.38,Schubart
2009 HP115,16.25,Schubart
2009 RC17,15.72,Background
2009 SV227,15.89,Background
2009 SL372,15.58,Guinevere
2009 TJ50,15.67,Background
2010 UB111,15.77,Background
2010 VW186,15.29,Hilda
2011 UA106,16.24,Schubart
2012 EN25,16.1,Background
2012 SP75,16.11,Background
2012 TR219,16.15,Background
2012 VL73,15.48,Background
2012 VR121,15.71,Background
2012 VY122,15.8,Potomac
2013 SE72,16.09,Schubart
2013 TX209,16.01,Hilda
2013 VO75,16.15,Hilda
2013 WJ110,16.27,Background
2014 BU26,16.3,Hilda
2014 JM44,15.86,Schubart
2014 OG419,16.08,Background
2014 WA429,15.41,Background
2014 YM80,15.91,Background
2014 YW90,16.06,Potomac
2015 AX64,15.85,Schubart
2015 AM110,15.97,Schubart
2015 AN129,16.41,Background
2015 AS138,16.06,Schubart
2015 BQ225,16.04,Schubart
2015 BA238,15.86,Hilda
2015 BP352,16.22,Schubart
2015 BW353,15.83,Schubart
2015 BE419,16.16,Schubart
2015 BM516,16.19,Potomac
2015 BZ559,15.82,Background
2015 BF567,15.55,Hilda
2015 BL608,16.24,Background
2015 CG28,15.88,Background
2015 CT50,16.09,Schubart
2015 CQ62,16.24,Schubart
2015 CR62,15.99,Background
2015 DU40,16.12,Hilda
2015 DL82,15.95,Schubart
2015 DW160,15.81,Background
2015 DT207,15.53,Background
2015 FT128,16.03,Background
2015 FD208,16.16,Schubart
2016 CW406,16.77,Background
2016 EE360,16.32,Schubart
2016 GN55,16.39,Schubart
2016 GM60,15.99,Schubart
2017 BM58,15.71,Schubart
2017 KB14,16.07,Background
2018 FG46,15.83,Background
2019 GU9,16.37,Schubart
2020 RN117,16.0,Schubart
2021 VJ14,15.47,Hilda
1994 TZ5,15.97,Schubart
1995 SY55,17.42,Background
1995 SG62,16.8,Schubart
1995 SJ75,15.93,Potomac
1995 VZ7,16.8,Schubart
1996 VC29,16.94,Schubart
1996 VE42,16.28,Background
1997 SA12,15.81,Background
1999 TH330,16.69,Hilda
1999 VE76,16.82,Background
1999 VN140,17.39,Schubart
2000 QF261,15.98,Background
2000 RP59,16.11,Hilda
2000 SC377,16.05,Schubart
2000 WA187,17.698,Background
2000 WO198,16.5,Background
2000 XV,17.11,Background
2001 FR198,18.1,Background
2001 FW212,17.79,Hilda
2001 KA87,15.95,Background
2001 MD32,15.93,Schubart
2001 QV302,15.87,Background
2001 QE339,16.0,Background
2001 RO156,16.15,Hilda
2001 SV238,16.15,Schubart
2001 TV129,16.59,Schubart
2001 TH248,16.54,Background
2001 TV254,15.57,Background
2001 TE255,16.48,Background
2001 UD209,15.76,Schubart
2001 VG129,15.13,Potomac
2001 XU132,15.76,Schubart
2001 YH31,15.87,Background
2002 CK320,16.15,Schubart
2002 ER169,15.56,Schubart
2002 FO43,15.88,Schubart
2002 GR28,16.81,Schubart
2002 JS153,16.25,Schubart
2002 PO175,16.03,Hilda
2002 PB198,15.53,Potomac
2002 PF199,16.49,Background
2002 PV202,15.46,Hilda
2002 QE46,16.45,Background
2002 QE60,16.8,Background
2002 QO100,16.0,Potomac
2002 QD130,16.44,Background
2002 QF136,16.7,Background
2002 QY143,17.09,Guinevere
2002 QC158,15.43,Schubart
2002 RN232,16.76,Francette
2002 RY251,16.7,Background
2002 RN260,16.4,Background
2002 RV265,15.9,Schubart
2002 RB297,15.64,Hilda
2002 SK74,16.86,Hilda
2002 TY152,16.58,Background
2002 TK328,16.75,Schubart
2002 TA335,16.89,Background
2002 TW371,15.77,Background
2002 TQ393,16.73,Schubart
2002 UU73,15.66,Schubart
2002 VM129,16.22,Schubart
2002 XQ121,16.24,Schubart
2002 XX122,16.0,Hilda
2002 XR124,15.97,Hilda
2002 YX36,15.5,Background
2003 AU95,16.6,Francette
2003 BN99,15.54,Background
2003 BW101,16.03,Background
2003 CB22,16.34,Schubart
2003 ED64,15.98,Background
2003 HC64,16.15,Schubart
2003 QU98,16.66,Schubart
2003 QJ120,16.76,Background
2003 QZ123,15.99,Background
2003 QJ125,16.8,Hilda
2003 SR72,16.98,Schubart
2003 SC104,15.78,Hilda
2003 SR121,15.78,Potomac
2003 SP236,16.23,Background
2003 SU326,16.6,Schubart
2003 SV332,16.6,Schubart
2003 SX336,16.1,Potomac
2003 SR382,16.82,Schubart
2003 SN383,16.8,Schubart
2003 SB384,16.79,Schubart
2003 SZ386,15.91,Schubart
2003 SL398,16.09,Background
2003 SY406,15.91,Potomac
2003 SW428,16.15,Schubart
2003 SZ450,16.23,Schubart
2003 SW451,15.48,Potomac
2003 SQ452,16.14,Background
2003 ST453,16.5,Schubart
2003 SU453,16.5,Schubart
2003 SH456,16.85,Potomac
2003 SU456,16.8,Schubart
2003 SG461,15.96,Hilda
2003 SF464,16.9,Schubart
2003 TK32,16.03,Background
2003 TR62,15.8,Francette
2003 TY62,15.55,Schubart
2003 UZ39,16.9,Schubart
2003 UK41,16.6,Potomac
2003 UE248,16.13,Background
2003 UJ297,15.81,Hilda
2003 UZ297,16.61,Schubart
2003 UT305,16.2,Hilda
2003 UY333,16.77,Schubart
2003 UO350,16.2,Schubart
2003 UK358,16.31,Background
2003 UN378,16.86,Francette
2003 UR380,16.8,Schubart
2003 UC385,16.9,Background
2003 UX414,16.3,Background
2003 UB435,16.53,Background
2003 US436,16.9,Background
2003 UE437,16.7,Schubart
2003 UP443,16.5,Schubart
2003 UJ444,16.6,Background
2003 UK448,16.2,Background
2003 VN13,17.17,Schubart
2003 WF49,16.61,Schubart
2003 WU58,15.68,Schubart
2003 WB209,15.95,Background
2003 WO213,16.4,Schubart
2003 WY214,16.96,Background
2003 YO189,16.15,Background
2004 CO133,15.96,Schubart
2004 DB58,15.63,Schubart
2004 EP104,16.4,Background
2004 EC106,15.73,Potomac
2004 FQ9,16.5,Background
2004 FR174,16.36,Background
2004 KH22,16.82,Background
2004 RH129,16.4,Background
2004 TG318,16.7,Background
2004 TO371,16.5,Background
2004 TR383,16.13,Background
2004 VR3,15.93,Schubart
2004 VA37,16.21,Schubart
2004 VB52,15.9,Hilda
2004 VC84,16.56,Schubart
2004 VN94,16.6,Background
2004 VZ101,16.91,Schubart
2004 VT106,17.02,Background
2004 VN138,16.87,Background
2004 XG152,16.43,Background
2005 BS39,16.23,Background
2005 ET232,16.18,Schubart
2005 EK264,15.94,Schubart
2005 EK296,16.37,Potomac
2005 ET348,16.23,Background
2005 GR238,15.66,Hilda
2005 JC7,16.23,Schubart
2005 LO59,16.18,Schubart
2005 MK56,15.83,Background
2005 NX67,17.0,Background
2005 NU104,16.95,Schubart
2005 NZ108,17.21,Background
2005 NB120,17.02,Schubart
2005 PJ28,16.88,Background
2005 QJ121,16.64,Schubart
2005 QO128,16.51,Schubart
2005 QY194,15.43,Hilda
2005 QR203,16.04,Potomac
2005 QD206,16.31,Background
2005 QE210,16.88,Schubart
2005 RV62,16.7,Potomac
2005 SU131,16.79,Schubart
2005 SM142,16.48,Hilda
2005 SR144,16.21,Hilda
2005 SV151,16.01,Background
2005 SR261,15.69,Potomac
2005 SR273,16.2,Schubart
2005 SB302,17.15,Schubart
2005 TX18,15.72,Background
2005 TA95,15.34,Background
2005 TU206,16.35,Hilda
2005 TB219,16.3,Background
2005 UK193,16.24,Schubart
2005 UQ211,16.41,Background
2005 UR379,16.46,Schubart
2005 US423,16.17,Background
2005 UC459,15.64,Background
2005 UF546,16.0,Schubart
2005 VB122,16.35,Schubart
2005 VZ128,16.38,Schubart
2005 VL152,16.47,Background
2005 VL156,16.55,Schubart
2005 WE131,16.8,Background
2005 WQ132,16.14,Potomac
2005 XG63,16.75,Background
2005 XH93,16.48,Schubart
2005 XD126,15.52,Background
2005 XY135,16.7,Background
2005 YQ55,17.04,Schubart
2005 YU101,16.78,Background
2005 YN123,16.93,Background
2005 YO177,16.98,Potomac
2005 YN232,16.69,Schubart
2005 YB234,17.12,Schubart
2006 AK52,16.01,Background
2006 AZ114,16.13,Background
2006 AT115,16.48,Background
2006 BD49,16.45,Schubart
2006 BU49,16.81,Background
2006 BH86,16.38,Hilda
2006 BO140,17.01,Schubart
2006 BR141,16.21,Schubart
2006 BV184,16.54,Schubart
2006 BS233,16.21,Schubart
2006 BZ240,16.34,Schubart
2006 BE291,16.39,Background
2006 BS292,16.3,Schubart
2006 BC300,16.61,Schubart
2006 BD300,16.34,Schubart
2006 CJ85,16.4,Background
2006 CO85,16.36,Schubart
2006 CK88,16.45,Background
2006 CQ91,17.08,Background
2006 DL151,15.69,Schubart
2006 GR58,16.52,Background
2006 HF14,15.9,Schubart
2006 HC78,15.85,Hilda
2006 HJ100,16.18,Background
2006 HE106,15.93,Background
2006 JE90,16.56,Background
2006 KH117,16.35,Schubart
2006 KO138,15.52,Potomac
2006 KK139,16.41,Background
2006 LX7,16.87,Hilda
2006 QV69,16.79,Schubart
2006 QP90,16.27,Potomac
2006 QB153,16.73,Background
2006 QB179,16.9,Schubart
2006 QF207,16.13,Potomac
2006 QF209,16.8,Schubart
2006 RT3,15.87,Hilda
2006 RF12,16.67,Background
2006 RN22,15.8,Hilda
2006 RX57,15.98,Hilda
2006 RO68,16.07,Schubart
2006 RW70,16.31,Schubart
2006 RO103,16.57,Background
2006 RP103,17.42,Background
2006 RP112,17.67,Background
2006 SQ84,16.45,Schubart
2006 SV99,16.31,Hilda
2006 ST172,16.55,Schubart
2006 SF179,16.73,Potomac
2006 SL249,16.25,Schubart
2006 SQ249,16.27,Background
2006 SP250,16.76,Background
2006 SJ251,16.25,Schubart
2006 SC257,16.73,Background
2006 SV304,16.47,Francette
2006 SF338,16.34,Background
2006 SL349,16.7,Background
2006 SF373,16.44,Schubart
2006 SF380,17.77,Hilda
2006 ST381,16.68,Background
2006 SP395,17.0,Background
2006 SW406,16.21,Guinevere
2006 SM410,16.94,Background
2006 SF432,16.31,Background
2006 SL457,16.97,Schubart
2006 SN457,16.73,Schubart
2006 SM460,16.57,Background
2006 SJ462,18.68,Background
2006 SN462,16.81,Francette
2006 TE32,16.55,Background
2006 TL33,16.38,Schubart
2006 TW110,17.711,Guinevere
2006 TK113,17.38,Background
2006 TJ144,16.64,Background
2006 UD105,16.2,Hilda
2006 UF137,16.7,Background
2006 UK152,16.06,Background
2006 UT165,15.78,Background
2006 UE193,15.67,Background
2006 UC240,16.18,Schubart
2006 UX244,16.03,Background
2006 UQ249,16.7,Schubart
2006 UG290,15.71,Potomac
2006 UA303,17.48,Background
2006 UZ316,16.88,Schubart
2006 UN317,16.89,Background
2006 UC330,16.87,Schubart
2006 UF332,16.39,Background
2006 UD346,15.99,Potomac
2006 UF349,16.94,Schubart
2006 UV352,15.62,Potomac
2006 UM373,15.34,Potomac
2006 UX390,16.1,Potomac
2006 UU391,16.79,Schubart
2006 UF393,16.7,Schubart
2006 UG393,16.51,Hilda
2006 WP207,16.15,Background
2006 WZ227,15.16,Hilda
2006 XG32,16.59,Schubart
2007 AT37,16.25,Background
2007 BR119,16.27,Schubart
2007 DV8,16.97,Francette
2007 DD133,16.1,Potomac
2007 FW34,16.77,Hilda
2007 FU51,16.45,Background
2007 GX77,15.82,Potomac
2007 HQ101,15.56,Background
2007 HZ101,15.82,Hilda
2007 HY109,16.27,Background
2007 LV38,15.93,Potomac
2007 MU18,15.58,Potomac
2007 PZ26,16.68,Schubart
2007 PC56,17.0,Schubart
2007 QV17,16.5,Potomac
2007 RK47,16.46,Hilda
2007 RW70,16.18,Background
2007 RW158,16.38,Schubart
2007 RY166,16.2,Schubart
2007 RG178,16.01,Background
2007 RY193,16.81,Background
2007 RC253,17.11,Potomac
2007 RT268,16.43,Schubart
2007 RG294,16.4,Schubart
2007 RG302,16.08,Hilda
2007 RG327,17.09,Schubart
2007 RH327,16.43,Schubart
2007 RK336,16.48,Schubart
2007 RG337,16.44,Background
2007 RW352,16.57,Schubart
2007 RP368,16.47,Background
2007 RV369,16.48,Background
2007 RX369,17.12,Schubart
2007 RE374,17.53,Background
2007 RH382,16.5,Background
2007 RP382,16.93,Schubart
2007 RZ382,16.77,Schubart
2007 TU8,16.04,Background
2007 TT42,16.77,Background
2007 TZ60,16.37,Schubart
2007 TQ64,16.93,Background
2007 TJ72,16.85,Schubart
2007 TZ89,16.12,Background
2007 TA124,16.91,Background
2007 TF138,16.61,Background
2007 TR175,16.63,Schubart
2007 TS177,16.48,Hilda
2007 TH229,16.45,Background
2007 TE257,16.37,Schubart
2007 TY279,16.82,Background
2007 TQ293,16.73,Schubart
2007 TE309,16.56,Schubart
2007 TH318,16.73,Background
2007 TD378,16.99,Schubart
2007 TF391,16.77,Schubart
2007 TZ393,16.43,Hilda
2007 TA431,16.69,Schubart
2007 TJ464,16.37,Potomac
2007 TC484,16.32,Background
2007 TA506,16.38,Hilda
2007 TC506,16.3,Background
2007 TM506,17.14,Schubart
2007 TE509,17.23,Schubart
2007 UQ56,17.38,Francette
2007 UL58,16.372,Background
2007 UJ70,16.49,Background
2007 UJ93,16.85,Schubart
2007 US160,18.16,Hilda
2007 UA165,17.2,Hilda
2007 UR166,17.16,Schubart
2007 UX166,17.39,Schubart
2007 VS15,17.38,Background
2007 VL43,17.54,Schubart
2007 VR50,16.4,Background
2007 VT112,16.23,Schubart
2007 VW115,16.46,Francette
2007 VU142,16.13,Background
2007 VJ150,17.36,Schubart
2007 VA162,16.87,Background
2007 VQ170,16.4,Schubart
2007 VG180,17.18,Guinevere
2007 VW211,17.11,Schubart
2007 VY239,16.13,Background
2007 VM248,16.97,Schubart
2007 VD280,16.13,Schubart
2007 VC290,17.11,Background
2007 VU337,16.59,Schubart
2007 VW337,16.42,Background
2007 VD381,16.41,Background
2007 VJ383,16.06,Hilda
2007 VP383,16.55,Background
2007 WB40,16.52,Potomac
2007 WG45,15.81,Potomac
2007 WD52,16.94,Schubart
2007 WG75,16.51,Hilda
2007 YE81,16.07,Potomac
2008 AN71,16.24,Background
2008 AJ149,16.01,Hilda
2008 AL149,16.06,Background
2008 AQ159,16.19,Background
2008 CV78,15.4,Potomac
2008 CY134,16.37,Schubart
2008 CP147,16.27,Background
2008 CX161,16.49,Francette
2008 CR206,16.13,Hilda
2008 CZ237,16.38,Background
2008 DL94,15.99,Background
2008 DW95,16.0,Background
2008 EV30,16.21,Hilda
2008 EO71,16.85,Schubart
2008 FB26,16.43,Background
2008 JX43,15.96,Schubart
2008 KG44,15.86,Francette
2008 OX32,15.98,Background
2008 PC20,16.26,Background
2008 QA51,16.02,Background
2008 RN14,15.57,Potomac
2008 RX150,16.15,Background
2008 RQ169,16.36,Background
2008 RD171,16.11,Background
2008 RH184,16.38,Schubart
2008 SR196,16.41,Background
2008 SF314,15.61,Background
2008 SP314,16.2,Background
2008 SM315,16.93,Background
2008 SU316,16.3,Background
2008 SP360,17.41,Background
2008 TW103,16.75,Hilda
2008 TJ106,16.01,Potomac
2008 TN109,16.89,Potomac
2008 TS147,16.67,Schubart
2008 TG161,17.09,Background
2008 TK187,16.85,Francette
2008 TJ192,16.19,Background
2008 TS194,15.79,Background
2008 TU194,15.65,Background
2008 TN196,16.26,Schubart
2008 TQ197,16.09,Schubart
2008 TD228,16.57,Schubart
2008 TG240,15.82,Potomac
2008 TQ240,16.74,Schubart
2008 UO25,16.26,Schubart
2008 UR26,16.75,Background
2008 UT81,16.42,Schubart
2008 UZ103,16.67,Guinevere
2008 UC148,16.16,Schubart
2008 UY151,17.39,Background
2008 UC172,17.12,Background
2008 UY208,16.98,Schubart
2008 UR216,16.66,Background
2008 UH242,16.37,Hilda
2008 UQ247,16.12,Schubart
2008 UY253,17.45,Guinevere
2008 UM276,17.05,Schubart
2008 UY277,17.37,Background
2008 UO282,16.27,Background
2008 UG286,16.44,Background
2008 UY287,16.28,Schubart
2008 UU305,15.65,Potomac
2008 UO314,16.84,Background
2008 UK321,16.31,Background
2008 UT336,16.68,Background
2008 UE366,16.67,Schubart
2008 UB369,16.26,Schubart
2008 UT380,16.57,Background
2008 UZ403,17.04,Background
2008 UU406,16.89,Potomac
2008 UO421,16.97,Schubart
2008 VW10,17.1,Hilda
2008 VS35,16.77,Hilda
2008 VK54,16.69,Background
2008 VR81,16.04,Potomac
2008 VW98,16.4,Background
2008 VA101,16.49,Schubart
2008 VU105,16.46,Schubart
2008 VA106,15.8,Background
2008 VT107,16.34,Schubart
2008 VW109,16.99,Background
2008 VZ109,16.51,Background
2008 VD110,16.05,Hilda
2008 WO26,16.75,Background
2008 WF41,16.702,Schubart
2008 WB68,16.52,Schubart
2008 WZ77,16.25,Potomac
2008 WT103,16.71,Background
2008 WM128,15.79,Schubart
2008 WG162,16.43,Schubart
2008 WY167,16.41,Schubart
2008 WB168,16.85,Schubart
2008 XV31,16.94,Background
2008 XY35,16.9,Schubart
2008 XL67,16.35,Francette
2008 XS70,16.9,Potomac
2008 XT70,16.68,Francette
2008 YB32,15.75,Hilda
2008 YW45,16.21,Background
2008 YV66,16.13,Background
2008 YA69,16.36,Hilda
2008 YV71,16.68,Background
2008 YN73,16.28,Background
2009 AG10,16.95,Schubart
2009 BH169,15.79,Background
2009 BL217,16.74,Potomac
2009 CD5,16.41,Potomac
2009 CY5,16.97,Hilda
2009 CU39,16.77,Hilda
2009 DR79,16.43,Schubart
2009 DS150,15.95,Hilda
2009 DZ154,16.4,Potomac
2009 EB32,16.24,Schubart
2009 EZ36,15.38,Hilda
2009 HU120,16.19,Potomac
2009 HX129,16.18,Schubart
2009 KH31,18.18,Background
2009 KM32,18.794,Background
2009 QO48,16.5,Background
2009 QF55,16.96,Background
2009 QP55,15.96,Hilda
2009 QV55,16.27,Background
2009 QU56,15.93,Hilda
2009 QP64,16.34,Background
2009 RS8,16.46,Schubart
2009 SW9,15.68,Background
2009 SR129,16.05,Schubart
2009 SZ149,16.26,Hilda
2009 SB151,16.07,Potomac
2009 SR192,16.42,Francette
2009 SR245,15.48,Hilda
2009 SQ247,16.06,Background
2009 SA257,17.08,Background
2009 ST324,16.01,Background
2009 SB370,16.54,Background
2009 SO374,15.88,Schubart
2009 SB376,16.26,Background
2009 SH376,16.49,Background
2009 SB377,15.86,Hilda
2009 SO388,16.61,Schubart
2009 SF397,16.19,Background
2009 SO397,16.52,Schubart
2009 SM398,15.59,Hilda
2009 SL420,16.27,Schubart
2009 UU121,16.04,Background
2009 UO166,16.4,Potomac
2009 UN174,16.64,Background
2009 WM7,15.96,Schubart
2009 WC81,16.34,Hilda
2009 WC215,15.83,Background
2009 WT252,16.05,Schubart
2009 WY271,16.06,Schubart
2009 WL280,15.81,Background
2009 WY280,16.7,Schubart
2009 WL282,16.59,Schubart
2009 WG284,16.2,Schubart
2009 WJ289,15.91,Schubart
2009 WS295,16.98,Schubart
2009 XE10,16.72,Schubart
2009 XX30,16.44,Background
2009 YB31,16.77,Francette
2009 YM31,15.92,Background
2010 AF29,16.853,Background
2010 AR42,16.33,Background
2010 AB86,15.44,Background
2010 BX11,15.79,Hilda
2010 BX14,15.77,Potomac
2010 BG17,15.97,Schubart
2010 BB22,15.84,Schubart
2010 BZ32,15.75,Background
2010 BG39,15.55,Potomac
2010 BF87,15.74,Background
2010 BQ90,16.27,Background
2010 BG152,16.41,Schubart
2010 BR152,15.51,Potomac
2010 CJ109,16.21,Schubart
2010 CU134,16.17,Background
2010 CW189,15.17,Potomac
2010 CD203,16.9,Schubart
2010 CW217,16.25,Francette
2010 CE241,15.95,Potomac
2010 CT241,16.0,Potomac
2010 CG265,15.86,Background
2010 DH9,17.24,Background
2010 DY37,15.94,Background
2010 DS81,15.87,Hilda
2010 EM23,15.47,Background
2010 EJ114,16.08,Hilda
2010 ET166,16.17,Schubart
2010 FF35,16.39,Schubart
2010 FL41,16.15,Potomac
2010 FM46,15.96,Background
2010 FE50,15.82,Potomac
2010 FJ93,16.26,Background
2010 FG124,16.96,Background
2010 FU128,16.05,Hilda
2010 FL131,16.59,Background
2010 FU138,15.71,Hilda
2010 FN142,15.78,Hilda
2010 GY16,15.84,Potomac
2010 GM17,16.26,Hilda
2010 GH23,15.53,Background
2010 GF29,15.68,Background
2010 GH83,16.0,Schubart
2010 GY166,16.71,Schubart
2010 GT179,15.79,Hilda
2010 GR205,16.16,Hilda
2010 GZ207,16.07,Schubart
2010 GC211,16.4,Schubart
2010 HM129,16.31,Hilda
2010 HK141,16.97,Background
2010 JA46,16.24,Background
2010 JV69,16.16,Background
2010 JQ90,16.15,Hilda
2010 JU106,16.18,Hilda
2010 KJ33,16.6,Potomac
2010 KW68,15.39,Background
2010 KL93,16.18,Schubart
2010 KC106,16.6,Francette
2010 KH108,16.2,Schubart
2010 KR112,15.9,Background
2010 KG114,15.91,Background
2010 KP123,16.6,Schubart
2010 KL126,15.87,Hilda
2010 KX135,15.79,Potomac
2010 KY148,16.4,Hilda
2010 KG158,16.24,Schubart
2010 KH158,16.32,Schubart
2010 LR6,15.81,Background
2010 LN12,16.49,Background
2010 LT18,15.82,Schubart
2010 LO50,16.7,Schubart
2010 LP52,16.18,Schubart
2010 LA59,16.05,Background
2010 LT66,15.69,Hilda
2010 LT73,17.0,Schubart
2010 LG79,16.02,Schubart
2010 LM80,15.41,Potomac
2010 LN86,16.8,Schubart
2010 LL88,16.78,Francette
2010 LB92,15.87,Hilda
2010 LW93,15.5,Background
2010 LZ117,16.2,Schubart
2010 LH119,16.04,Schubart
2010 LW132,16.98,Background
2010 LW145,16.4,Background
2010 LH156,16.79,Schubart
2010 MN11,16.7,Schubart
2010 MY20,16.8,Background
2010 MG32,15.8,Schubart
2010 ML38,16.18,Background
2010 MY44,16.34,Background
2010 MC53,16.09,Schubart
2010 MV55,16.0,Schubart
2010 MY64,16.6,Background
2010 MT69,15.86,Background
2010 MK70,17.6,Background
2010 MP72,16.31,Schubart
2010 MZ92,16.32,Schubart
2010 MJ93,16.19,Hilda
2010 MF96,16.48,Potomac
2010 MA98,16.3,Potomac
2010 MA101,16.8,Background
2010 ML117,16.75,Schubart
2010 MY123,17.5,Potomac
2010 MG126,17.09,Background
2010 MS127,16.77,Background
2010 MU133,16.29,Hilda
2010 NU11,15.92,Schubart
