idhere,H_mag,family
2003 SV83,14.71,Background
2003 SQ319,14.44,Background
2003 WW1,14.5,Hilda
2006 AX21,14.46,Hilda
2006 AY75,15.05,Background
2001 UO165,13.88,Hilda
2001 TQ85,14.77,Hilda
2001 TL229,14.01,Hilda
2004 CB32,14.78,Background
2007 HH90,14.24,Hilda
2000 ST33,14.69,Background
2000 SA75,14.14,Hilda
2000 SQ174,14.3,Potomac
2000 SU236,14.68,Hilda
2000 SO239,14.84,Schubart
2000 SD285,13.56,Background
2000 SY304,14.07,Hilda
2000 SS367,14.28,Hilda
2000 TP35,15.14,Background
2000 US24,14.33,Potomac
2000 UX34,14.46,Background
2000 WY13,14.74,Potomac
2000 WW146,13.84,Background
2000 YL23,14.84,Background
2001 TG99,14.19,Background
2001 VK3,14.96,Schubart
2001 VF24,14.46,Background
2001 WJ85,15.28,Background
2001 XR,14.82,Background
2001 XE162,14.68,Background
2001 XR257,14.33,Potomac
2001 YH20,14.98,Schubart
2001 YN20,14.95,Schubart
2001 YD21,14.79,Schubart
2002 AF36,14.39,Schubart
2002 AL134,14.74,Schubart
2002 BZ6,14.54,Hilda
2002 CR306,14.53,Background
2004 BL2,14.64,Schubart
2004 EM19,14.73,Hilda
2004 EW71,14.66,Hilda
2004 FB98,14.3,Potomac
2004 FL122,14.22,Hilda
2005 CU78,14.94,Schubart
2006 HJ78,14.9,Background
2007 RR162,14.65,Background
2007 TU73,14.8,Background
2000 SO182,14.03,Background
2000 UF108,15.17,Hilda
2000 VU21,14.83,Schubart
2000 WT140,14.85,Schubart
2002 AT47,15.38,Schubart
2004 EA16,14.41,Hilda
2005 EM18,14.21,Hilda
2006 DX188,14.54,Background
1999 TK28,15.0,Schubart
1999 TT121,15.1,Background
1999 TD239,14.73,Schubart
1999 VG135,15.35,Background
2000 SE249,14.89,Background
2000 WK138,15.03,Schubart
2000 WC140,14.95,Schubart
2000 WQ144,14.76,Schubart
2005 MD8,14.82,Background
2006 SQ98,14.92,Background
2007 RW130,15.17,Schubart
2007 RS155,15.41,Schubart
2007 TQ331,15.12,Background
1999 RP104,14.34,Background
1999 TZ227,15.5,Background
1999 VQ181,15.59,Schubart
2005 LL11,14.7,Background
2005 NJ38,15.07,Background
2005 OH7,14.55,Schubart
2005 QW7,14.81,Background
2005 QU28,14.39,Hilda
2005 QO173,14.08,Background
2005 TT127,15.27,Schubart
2006 QH56,14.49,Schubart
2006 QY113,14.75,Schubart
2006 SK5,14.56,Schubart
2006 SV167,14.81,Background
2006 UK46,14.69,Background
2006 UW322,14.74,Background
2007 TV58,15.2,Background
2007 TZ212,15.68,Background
2007 TD361,15.14,Background
2007 UP133,15.26,Background
1998 SM160,14.68,Potomac
2001 DH1,14.58,Background
2002 GZ181,14.04,Background
2003 HS19,14.68,Background
2004 PP10,13.56,Background
2004 RO2,14.36,Hilda
2005 QQ44,14.67,Schubart
2005 SN2,14.75,Background
2006 PN12,15.26,Background
2006 QD62,15.21,Background
2006 SQ107,14.47,Hilda
2006 UD273,14.34,Hilda
2006 VZ64,14.67,Background
2007 TZ382,15.21,Background
2005 SD273,15.02,Background
2005 UJ13,14.68,Background
2005 UW13,14.99,Schubart
2006 GD39,14.24,Hilda
2006 QL117,15.14,Schubart
