idhere,H_mag
2019 AC100,16.3
2019 BD8,16.12
2019 CY7,15.96
2019 GW62,16.05
2019 GM64,16.04
2019 GA83,15.97
2019 GD92,15.64
2019 GK110,16.05
2019 GC130,16.3
2019 GE138,16.1
2019 HE7,16.26
2019 JD14,16.3
2019 JW26,16.21
2019 JN52,15.88
2019 JY63,16.09
2019 JN106,16.09
2019 JT106,16.14
2019 JE107,15.89
2019 KO46,16.21
2019 KC54,16.04
2019 LH17,16.29
2019 NK28,15.93
2019 OP5,15.94
2019 OT16,15.7
2019 QV49,16.0
2019 QU77,16.2
2019 QW109,16.1
2019 RP15,16.1
2019 RE31,16.26
2019 SJ43,16.3
2019 TK21,15.79
2019 TQ75,16.28
2019 UT109,16.28
2019 VZ5,14.98
2019 YZ24,16.17
2019 YN33,15.87
2019 YS33,15.97
2019 YL34,16.24
2020 AA24,16.15
2020 BD18,16.1
2020 BO23,16.26
2020 BC26,15.9
2020 BU46,16.18
2020 BY60,16.0
2020 BX64,16.1
2020 BT68,16.1
2020 BU73,16.29
2020 BV73,16.13
2020 BD76,16.1
2020 BB82,16.2
2020 CT6,15.9
2020 DF11,15.8
2020 FT31,16.21
2020 GB21,15.98
2020 KH51,16.24
2020 LD16,16.3
2020 NT3,16.18
2020 PS28,16.3
2020 PB54,16.0
2020 RP47,16.1
2020 RR70,16.1
2020 RU92,16.1
2020 SO80,16.23
2020 US36,15.85
2020 UY39,16.26
2020 WY18,16.2
2021 DQ4,16.16
2021 DF9,16.06
2021 DE17,15.71
2021 EU10,16.18
2021 EU11,16.2
2021 FA27,16.2
2021 GN33,16.16
2021 GG69,16.3
2021 GH134,16.3
2021 HF14,16.3
2021 HS20,16.2
2021 LF13,16.05
2021 PS51,16.16
2021 QP43,16.13
2021 RZ33,15.93
2021 RB54,16.2
2021 RG87,16.07
2021 RD168,16.3
2021 SH36,15.82
2021 TB6,16.26
2021 TK48,16.27
2021 UT19,16.2
2021 VH20,16.16
2021 VT78,16.25
2022 DX17,15.96
2022 DJ22,15.88
2022 ES8,16.23
2022 EE10,16.15
2022 FX6,16.01
2022 FV13,16.23
2022 GM18,16.24
2022 OQ64,15.99
2022 SJ76,16.28
2022 SZ95,16.24
2023 FL14,16.3
2023 FP54,16.22
2024 JK35,16.3
