idhere,H_mag
2005 NJ38,15.07
2005 OH7,14.55
2005 QW7,14.81
2005 QU28,14.39
2005 QO173,14.08
2005 TT127,15.27
2006 QH56,14.49
2006 QY113,14.75
2006 SK5,14.56
2006 SV167,14.81
2006 UK46,14.69
2006 UW322,14.74
2007 TV58,15.2
2007 TZ212,15.68
2007 TD361,15.14
2007 UP133,15.26
1998 SM160,14.68
2001 DH1,14.58
2002 GZ181,14.04
2003 HS19,14.68
2004 PP10,13.56
2004 RO2,14.36
2005 QQ44,14.67
2005 SN2,14.75
2006 PN12,15.26
2006 QD62,15.21
2006 SQ107,14.47
2006 UD273,14.34
2006 VZ64,14.67
2007 TZ382,15.21
2005 SD273,15.02
2005 UJ13,14.68
2005 UW13,14.99
2006 GD39,14.24
2006 QL117,15.14
2006 WF159,15.47
2006 WW181,15.05
2008 AK106,15.54
2005 SO282,14.94
2005 TV168,14.73
2007 TP181,15.12
Hermanfrid,14.94
2002 AZ106,14.98
2008 FT73,14.75
2008 RR51,14.45
2002 TU281,13.78
2002 UK46,14.86
2005 WC45,15.21
2001 MV16,14.24
2001 NJ14,14.56
2001 PJ4,14.16
2001 QK43,14.65
2002 TY110,14.29
2002 TV256,14.98
2008 KY24,14.48
2001 OK77,14.59
2001 PW53,14.81
2001 PC54,15.1
2001 QT56,14.25
2001 QR225,13.74
2001 RN118,14.85
2001 SB125,14.21
2001 WN55,14.54
2002 XF45,14.81
2001 RN27,14.27
2001 RA125,14.69
2004 BD36,14.87
2005 EK131,14.39
2006 DE102,14.63
2007 KC,14.69
1996 GW4,14.8
1998 HN10,14.56
2001 OK38,14.43
2001 QM210,14.77
2001 QM279,14.95
2001 SN18,14.7
2001 SF174,14.7
2001 SA227,15.14
2001 TY128,14.86
2001 TD160,14.77
2001 TH161,14.53
2001 WH44,14.78
2003 BE57,15.1
2003 YL32,14.08
2004 BV28,15.0
2005 EO31,14.83
2005 GC95,15.2
2005 GO154,14.37
2001 SD255,15.22
2001 VR41,14.83
2001 XE229,15.2
2001 YS65,15.17
2002 WG20,15.19
2003 BB35,14.8
2003 BH61,14.82
2004 CH84,14.94
2004 DN28,14.76
2005 EX262,14.65
Romandia,14.55
2005 JG89,14.63
2006 JY8,15.23
2008 SV9,14.99
2001 VL55,14.6
2001 XD105,15.11
2001 XR207,14.52
2001 XN223,14.81
2004 FK57,14.84
2008 RM100,14.98
2001 VT31,14.71
2001 YJ65,15.77
2001 YS66,14.94
2001 YW79,14.65
2002 AT169,15.44
2002 CM142,15.01
2002 CN263,14.76
2006 PX9,14.78
2006 SE32,15.12
1999 RR214,14.75
1999 TN152,14.62
2000 TJ25,14.95
2000 YY72,14.61
2000 YH138,14.97
2001 WA94,15.38
2002 CC308,15.67
2003 BB88,14.9
2003 CG16,15.1
2008 TK164,15.05
2008 VO59,15.8
2008 WQ81,15.43
Honthyhanna,15.66
2009 VR58,15.3
2009 WO252,15.41
1995 NF1,14.71
1999 TL170,14.97
2002 CH304,15.02
2002 GP38,14.45
2004 HK15,14.85
2004 OY12,14.35
2005 PY14,14.04
2005 QQ53,15.1
2005 SL61,14.79
2005 SJ116,14.71
2005 SE124,14.64
2005 SB272,14.57
2005 WT122,14.59
2006 QC3,14.85
2006 QB33,14.64
2006 QU104,14.79
2007 RC33,14.68
2007 RW38,15.09
2007 RV140,15.06
2007 RB157,15.4
2007 RC188,15.05
2007 SD2,14.84
2007 TN14,15.3
2007 TH165,14.99
2008 CK157,14.64
2008 SD149,14.72
2008 WA72,15.5
2008 WA77,15.5
2008 XG5,14.92
2008 YJ110,14.24
2009 BM54,14.23
2009 BP88,14.28
2002 GS41,14.26
2002 GB129,14.59
2002 GF133,15.16
2003 MX,14.63
2003 ST50,14.09
2004 XO44,14.74
2005 LH53,14.97
2005 PO23,14.18
2005 QL1,14.43
2005 SE85,15.06
2005 SZ185,14.36
2005 TN134,15.21
2005 UR279,14.82
2006 QS55,14.97
2007 RM107,15.21
2008 RK96,15.12
2008 YV124,14.91
1999 TX132,15.03
2002 JC34,13.9
2006 VV57,14.74
2008 RK108,15.55
Tubman,15.01
1981 EZ5,14.83
2002 NK42,14.62
2002 PY81,14.31
2002 PZ160,14.87
2003 CR4,15.28
2003 CP5,14.97
2003 FK28,13.7
2003 HV31,14.32
2003 UK189,14.52
2003 WR72,15.21
2003 WG90,15.55
2003 WX103,15.2
2003 WB170,14.79
2004 CM74,14.17
2004 QS14,14.65
2005 QC41,14.5
2005 SW230,15.34
2006 FJ12,15.3
2006 TE9,14.91
2008 AM10,14.88
2008 PN13,14.93
2009 DV66,15.43
2002 PY114,14.96
2002 RX44,14.45
2002 SY22,14.01
2002 TV19,14.73
2003 UH276,14.93
2003 WU165,14.77
2004 CV72,14.63
2004 PC24,14.73
2004 XG5,14.77
2005 UQ336,14.77
2007 RD38,14.56
2008 AO17,15.05
2008 AP17,14.85
2008 UH5,14.95
2009 BR48,14.72
2009 DV77,15.33
2002 CU1,15.1
2002 PV103,14.88
Berndpauli,14.76
2002 SY24,14.72
2003 TV19,15.52
2003 UR161,14.94
2003 UX228,14.55
2003 UL275,15.36
2003 WF65,15.0
2004 EG34,14.78
2005 SM284,15.53
2006 WH146,14.49
2007 RE119,14.92
2007 TT289,14.53
2008 CW119,14.42
2008 RS4,15.53
2008 SD127,15.58
2008 SU203,15.51
2008 SF300,15.43
Ajoie,15.31
2008 UR259,15.44
2009 BU108,15.13
2009 DN69,15.16
2002 PY47,14.57
2002 PL74,14.59
2002 PV155,15.27
2002 QC52,15.66
2002 QS131,15.44
2002 RK68,14.44
2002 RN79,14.85
2002 RT181,14.98
2004 YB25,14.89
2006 DU106,15.03
1995 WX12,15.38
2001 NX16,14.81
2001 QJ62,15.01
2001 QR226,14.53
2001 RO104,14.97
2001 TC255,14.81
2002 RD81,14.96
2002 RD114,14.76
2002 RZ247,15.06
2002 SR19,14.38
2002 SJ27,15.1
2002 SV32,14.73
2002 SE37,14.99
2002 TB96,14.55
2002 TN210,14.79
2002 TG377,14.93
2003 YH53,14.99
2004 DQ59,14.79
2005 EP33,14.85
2006 DU215,14.54
2006 TJ75,14.76
2007 GG54,14.74
2009 RN9,15.13
1981 DA3,14.55
2001 NZ7,15.52
2001 RF112,14.92
2001 RW120,14.78
2001 RY149,15.03
2001 US169,14.03
2002 QM132,15.19
2003 AK16,14.12
2003 CG6,14.95
2003 RZ20,14.67
2003 UA24,15.24
2003 UV244,15.79
2004 BR81,14.34
2004 CC117,15.1
2004 DR58,14.74
2004 EB45,15.23
2004 VN,14.57
2005 AD78,15.76
2005 GM28,14.39
2006 HD3,14.8
2006 KF31,14.86
2007 CW52,15.16
2008 HX33,14.7
2008 QE37,15.11
2008 RD122,15.5
2009 OM19,15.18
2009 QN12,15.09
2009 QB22,15.77
2009 QX25,15.58
2009 QX39,14.99
2009 SR354,14.91
2001 UX13,14.72
2003 DR4,14.94
2004 FL27,15.47
2005 JZ183,14.93
2008 HX68,15.2
2008 SG287,14.32
2009 SN264,14.68
2009 WA76,15.6
2009 WX209,15.38
2003 BS19,14.94
2003 BZ47,14.78
2003 BX91,15.42
2005 WE85,14.6
2008 SJ37,15.13
2008 TK6,15.07
2008 TG106,15.29
2008 WL49,14.88
2009 UQ98,15.55
2009 UP152,15.9
2009 VB27,16.13
2009 WT198,15.52
2010 CQ191,15.87
2010 VQ180,14.92
1998 RQ65,14.82
2001 VK115,14.78
2001 YU49,14.65
2001 YN54,15.95
2002 AF188,15.15
2002 TF156,14.9
2003 KB32,14.93
2004 DS61,15.62
2004 NZ18,15.15
2004 OA4,15.12
2005 NB21,14.43
2005 QC31,14.92
2005 QE74,14.07
2005 SN24,14.71
2005 TD76,14.33
2006 RL18,14.64
2007 QB10,14.76
2007 RL124,15.65
2007 TP24,15.11
2007 TF111,14.8
2008 RM35,15.12
2008 SJ248,15.34
2008 TY156,15.3
2008 UO11,15.47
2008 UT273,15.51
2008 UR302,15.34
Fedaksari,16.04
2008 YH126,14.87
2009 UC7,15.32
2009 UL37,15.53
2009 UN148,15.76
2009 XW6,15.57
2010 OH111,14.92
2001 XW134,15.19
2002 TE16,15.15
2005 OB26,15.16
2005 QX156,14.54
2005 RW44,14.71
2005 SQ254,14.87
2006 TJ109,14.64
2006 WG115,14.6
2008 RS87,14.88
2009 CD37,14.71
2009 UK152,15.04
2009 VJ86,15.82
2010 BW101,16.14
2010 NA79,14.58
2010 NL111,15.23
2011 DT1,15.04
2004 QS3,14.87
2005 SE13,15.54
2006 WT82,14.79
2009 BC133,14.62
2009 BL190,14.68
2010 FE20,15.2
1992 DE1,14.4
Rutebeuf,14.47
2004 SS31,15.2
2004 TS196,15.44
2005 UX258,14.86
2006 WD150,14.68
2007 VK267,14.71
1997 SN22,14.98
1999 TY67,15.45
2000 WP43,15.15
2001 QX148,15.02
2001 SG2,15.03
2002 ST44,14.95
2002 TM181,15.09
2002 TB197,15.48
2002 VW21,14.81
2003 SR183,14.58
2003 UA50,15.11
2004 EU45,15.04
2004 TS344,14.58
2004 TF359,15.37
2004 VD9,14.88
2004 VH11,14.75
2004 VH84,15.23
2004 XE66,15.16
2004 XD107,15.18
2005 EW42,14.47
2005 EF212,15.04
2005 EL272,14.9
2005 GY124,14.87
2005 NU49,14.78
2005 SA108,15.17
2005 SC110,14.95
2005 TC181,15.31
2005 UF470,14.73
2005 UP479,15.2
2005 WJ57,14.4
2005 WM140,14.58
2006 AR63,14.86
2006 BO223,15.74
2006 HW6,14.37
2006 HF83,14.88
2006 KZ5,15.12
2006 QN32,14.93
2006 SQ72,15.33
