idhere,H_mag
2006 SJ251,16.25
2006 UC240,16.18
2007 BR119,16.27
2007 RY166,16.2
2007 VT112,16.23
2007 VD280,16.13
2008 JX43,15.96
2008 TN196,16.26
2008 TQ197,16.09
2008 UO25,16.26
2008 UC148,16.16
2008 UQ247,16.12
2008 UY287,16.28
2008 UB369,16.26
2008 WM128,15.79
2009 EB32,16.24
2009 HX129,16.18
2009 SR129,16.05
2009 SO374,15.88
2009 SL420,16.27
2009 WM7,15.96
2009 WT252,16.05
2009 WY271,16.06
2009 WG284,16.2
2009 WJ289,15.91
2010 BG17,15.97
2010 BB22,15.84
2010 CJ109,16.21
2010 ET166,16.17
2010 GH83,16.0
2010 GZ207,16.07
2010 KL93,16.18
2010 KH108,16.2
2010 KG158,16.24
2010 LT18,15.82
2010 LP52,16.18
2010 LG79,16.02
2010 LZ117,16.2
2010 LH119,16.04
2010 MG32,15.8
2010 MC53,16.09
2010 MV55,16.0
2010 NU11,15.92
2010 NR15,16.07
2010 NQ30,16.26
2010 NO52,15.84
2010 NF56,16.1
2010 NU57,15.96
2010 NT110,16.3
2010 NZ113,15.96
2010 NB115,15.98
2010 ON9,16.3
2010 OS14,15.42
2010 OB29,16.19
2010 OJ34,16.1
2010 OW54,15.59
2010 OW59,16.07
2010 OX76,15.26
2010 PN30,15.71
2010 PT30,16.0
2010 PZ31,16.29
2010 PD89,16.2
2010 RK188,16.2
2010 SZ59,16.2
2010 TT157,15.9
2010 TE159,15.73
2010 TS203,16.16
2010 UR13,15.9
2010 UP46,15.84
2010 VQ197,16.18
2010 VC240,16.29
2010 VG248,16.14
2010 VU255,16.3
2010 VN266,16.3
2011 AM50,16.3
2011 BC23,16.1
2011 BN136,16.2
2011 BC182,16.1
2011 BZ184,16.2
2011 CC60,16.3
2011 CJ129,16.3
2011 EM7,16.29
2011 JZ35,15.82
2011 SN54,16.16
2011 SF193,15.98
2011 SV243,16.3
2011 UY29,16.0
2011 UU134,16.2
2011 UJ248,15.8
2011 UL445,16.1
2011 UP461,16.0
2011 WN83,16.3
2011 WK127,15.74
2012 DZ2,16.08
2012 DR90,15.9
2012 DJ114,16.0
2012 DK118,16.2
2012 DV126,16.28
2012 EE26,16.14
2012 EG28,16.3
2012 PW56,16.17
2012 TR324,15.8
2012 UL1,16.26
2012 UC2,16.04
2012 VS7,16.29
2012 VO42,15.77
2012 VQ79,16.2
2012 VO92,16.04
2012 XY165,16.2
2013 CT107,16.08
2013 DZ21,16.2
2013 EY73,16.3
2013 ET124,16.09
2013 EE135,16.2
2013 EW141,15.93
2013 FV33,15.97
2013 FL37,16.18
2013 GE6,16.13
2013 GK10,15.86
2013 GD44,16.2
2013 PT112,16.21
2013 RM2,15.94
2013 TT120,16.1
2013 WJ119,16.24
2014 GC30,16.24
2014 GT54,16.23
2014 GW92,16.0
2014 HO191,16.22
2014 KV40,16.28
2014 KB126,16.14
2014 OU193,16.01
2014 SY140,16.14
2014 SP161,16.3
2014 SJ189,16.09
2014 WE72,16.2
2014 XR45,16.08
2015 DF291,16.27
2015 FN434,15.59
2015 HH91,16.13
2015 HG135,15.88
2015 HK242,15.9
2015 HC246,15.93
2015 KF138,15.85
2015 KQ163,16.13
2015 KP357,16.23
2015 MO131,16.3
2015 PA74,16.3
2015 PZ81,16.29
2015 PE103,15.85
2015 RR136,16.04
2015 RF329,16.26
2015 UQ18,16.28
2015 XR50,16.1
2015 XQ333,16.2
2016 AZ280,16.17
2016 BJ72,15.98
2016 BN143,16.19
2016 CW,16.0
2016 CV398,16.27
2016 FQ44,16.16
2016 GK122,15.93
2016 GL148,15.93
2016 PW79,15.98
2016 QF130,15.7
2017 DZ97,15.92
2017 DV144,15.96
2017 OA14,16.0
2017 OS71,16.12
2017 OC85,16.27
2017 OA98,16.1
2017 PY62,16.0
2017 QR56,15.7
2017 QG60,15.91
2017 QD119,16.0
2017 RA22,16.1
2017 RZ29,15.9
2017 RJ34,16.02
2017 RW39,16.24
2017 SC49,15.93
2017 SZ96,16.19
2017 SE102,16.18
2017 SC207,16.06
2017 UA16,16.0
2017 UG26,16.15
2017 UT29,15.98
2017 VS50,16.2
2018 FU40,16.21
2018 PB32,16.2
2018 PG32,16.2
2018 TE13,15.89
2018 VU11,16.1
2018 VF63,15.4
2019 BD8,16.12
2019 GK110,16.05
2019 GC130,16.3
2019 GE138,16.1
2019 JD14,16.3
2019 JW26,16.21
2019 JY63,16.09
2019 JT106,16.14
2019 LH17,16.29
2019 OP5,15.94
2019 RP15,16.1
2019 SJ43,16.3
2019 TK21,15.79
2020 BD18,16.1
2020 BV73,16.13
2020 BB82,16.2
2020 KH51,16.24
2020 WY18,16.2
2021 EU10,16.18
2021 EU11,16.2
2021 HF14,16.3
2021 QP43,16.13
2022 ES8,16.23
2022 EE10,16.15
2022 FX6,16.01
2022 FV13,16.23
