number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
 15783 ,Briancox           ,15783 Briancox (1993 PZ2),12.4,2460796.5,0.2572121609737248,3.950799058293642,4.845948182701097,220.3242709930058,119.4231099139624,3.811575467420688
 16232 ,Chijagerbs         ,16232 Chijagerbs (2000 ED152),12.82,2460796.5,0.1138507926499251,3.956451560061422,7.926098659664887,251.1940453096253,254.0202868480636,92.9049775642088
 16843 ,1997 XX3           ,16843 (1997 XX3),12.21,2460796.5,0.1818742389376105,3.947444561769654,5.374094574211035,158.5621866580702,136.0852585212781,67.7000237455029
 16915 ,Bredthauer         ,16915 Bredthauer (1998 FR10),12.14,2460796.5,0.1499324707263145,3.929227748585781,7.638407343076633,349.3197116912981,257.2498054558216,124.3517603924788
 16927 ,1998 FX68          ,16927 (1998 FX68),12.17,2460796.5,0.139306575708695,3.97338178642924,12.92475324669589,207.1180327279097,94.0488161791603,64.08007240734423
 16970 ,1998 VV2           ,16970 (1998 VV2),11.85,2460796.5,0.1133031489193919,3.962384875395379,8.76815234612751,233.0803053570897,39.93456859644243,252.6482712425437
 17212 ,2000 AV183         ,17212 (2000 AV183),12.6,2460796.5,0.2616432765736899,3.970786689033227,9.06240974272056,162.1471114092613,184.4188016227701,160.4795616130617
 17305 ,Caniff             ,17305 Caniff (4652 P-L),12.08,2460796.5,0.1373816086289294,3.998903702368659,6.68652856423643,349.0912870306166,118.8380465267438,291.6372161514657
 17397 ,1981 EF48          ,17397 (1981 EF48),13.23,2460796.5,0.02893922572102664,3.943058856791901,1.72288612980383,221.4485973726525,177.4041729340944,25.80580305928522
 17428 ,Charleroi          ,17428 Charleroi (1989 DL),11.47,2460796.5,0.1133982316937626,3.932248821504294,8.426728566157914,255.945320735232,327.0721281161937,168.2928576408172
 17867 ,1998 KD46          ,17867 (1998 KD46),12.49,2460796.5,0.06461707777722732,3.971269029225999,8.197146729600412,105.0703072677725,114.3815536121803,170.7304899708165
 18036 ,1999 ND26          ,18036 (1999 ND26),13.2,2460796.5,0.1434862804922006,3.967996618166254,3.911351698536206,82.9094492033054,164.4652012104355,132.6005362810689
 19034 ,Santorini          ,19034 Santorini (2554 P-L),13.02,2460796.5,0.248930609612679,3.968442397621287,3.519918947126706,50.33905760615174,357.5390994685735,36.69881504965546
 19752 ,2000 CH67          ,19752 (2000 CH67),11.65,2460796.5,0.1546661563782515,3.999169756042158,23.91082077133322,155.295286195659,316.1209425078447,125.1978421988345
 20038 ,Arasaki            ,20038 Arasaki (1992 UN5),11.72,2460796.5,0.2431373869073119,3.99754778794658,19.53992274560125,56.17469223736285,6.414527826983464,16.61506476705993
 20628 ,1999 TS40          ,20628 (1999 TS40),12.63,2460796.5,0.2196655139995562,4.008155558135484,6.542011784998969,146.2348193355493,276.6755188293974,39.86517393482811
 20630 ,1999 TJ90          ,20630 (1999 TJ90),14.25,2460796.5,0.2825386704074244,4.004373117963932,2.357762565623681,127.3059465464639,275.4375383021344,51.24119206182093
 20640 ,1999 TF118         ,20640 (1999 TF118),13.01,2460796.5,0.2220287476191843,3.975404001806627,6.954964872585146,339.6323730449472,53.83786613666557,71.87513951564632
 21047 ,Hodierna           ,21047 Hodierna (1990 SE5),13.07,2460796.5,0.1763099859294357,3.972305217917297,4.497152921053886,51.82976832389657,286.9004581439515,145.8243199249659
