number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
 20640 ,1999 TF118         ,20640 (1999 TF118),13.02,2460796.5,0.2220287476466892,3.975404001931857,6.954964872649373,339.6323730440025,53.83786614190087,71.8751394931654
 21047 ,Hodierna           ,21047 Hodierna (1990 SE5),13.07,2460796.5,0.1763099859079138,3.972305218105648,4.497152921405205,51.82976832609323,286.9004581536215,145.8243198823217
 21128 ,Chapuis            ,21128 Chapuis (1993 BJ5),12.17,2460796.5,0.107054004027355,3.957876874719279,7.923229930223379,316.8149004690499,266.6145805912116,305.1489466227781
 21804 ,Vaclavneumann      ,21804 Vaclavneumann (1999 TC8),14.45,2460796.5,0.2684324456080737,3.929427861104254,3.840340718422276,97.78757195533257,260.0979020204561,111.011358323208
 21930 ,1999 VP61          ,21930 (1999 VP61),13.07,2460796.5,0.2481439761131657,3.960008760207104,2.335979878864531,201.088077620772,184.0234829489206,98.13402256413623
 22058 ,2000 AA64          ,22058 (2000 AA64),12.46,2460796.5,0.07673336067472729,4.009168987168433,7.648324311191359,119.89621548278,87.46229143405657,349.7718835059632
 22070 ,2000 AN106         ,22070 (2000 AN106),12.41,2460796.5,0.2743413073096639,3.975103716851567,13.74072470577572,123.4382008489242,221.5061070900348,145.6134069813727
 22116 ,2000 RK71          ,22116 (2000 RK71),13.07,2460796.5,0.05170523892856786,3.94331017593173,5.606854403611572,114.0841673436349,208.4073921863816,115.5844323853181
 22647 ,Levi-Strauss       ,22647 Levi-Strauss (1998 OR8),13.54,2460796.5,0.2474299108767297,3.960584305127145,2.324807564582862,199.9194990184318,178.8499974506121,109.9874195326302
 22699 ,1998 RU22          ,22699 (1998 RU22),13.72,2460796.5,0.2376704518977021,3.982601958689611,2.976189203061914,25.32614666484267,341.0529486130879,110.4661694713989
 23174 ,2000 HM40          ,23174 (2000 HM40),11.83,2460796.5,0.2565853889533677,3.946517055382313,15.75277941044148,164.1056616224729,226.2365313475691,280.0252026903893
 23186 ,2000 PO8           ,23186 Knauss (2000 PO8),11.61,2460796.5,0.124112061491274,3.997284594723643,13.07583803548689,98.22327722448834,101.5764485887197,179.2209239292799
 23301 ,2001 AO16          ,23301 (2001 AO16),11.49,2460796.5,0.1947323104795656,3.985693458217185,21.42046071215047,301.4830200698215,356.9831549745674,213.2676492511444
 23405 ,Nisyros            ,23405 Nisyros (1973 SB1),13.07,2460796.5,0.1120664189326154,3.977333808984254,5.214909775896871,117.9816470765302,184.436952068635,254.1267518394603
 24701 ,Elyu-Ene           ,24701 Elyu-Ene (1990 VY5),12.74,2460796.5,0.1726178132397796,3.938009090745997,15.54273899810236,94.28256886080523,34.853821791184,94.50518059198362
 25800 ,Glukhovsky         ,25800 Glukhovsky (2000 CG83),13.1,2460796.5,0.1249331603142199,3.989678036227964,2.409607413769364,3.28831274773372,180.1668749617734,37.53244353452786
 25869 ,Jacoby             ,25869 Jacoby (2000 JP70),11.86,2460796.5,0.1447009505352252,3.982636386973458,16.96602327539491,249.9834228337476,250.995248845999,94.64767623052767
 26761 ,Stromboli          ,26761 Stromboli (2033 P-L),12.48,2460796.5,0.1666499668175699,4.002774314495573,3.542550798803311,223.2885559597547,228.7313145104116,324.8390120771136
 26929 ,1997 CE18          ,26929 (1997 CE18),13.48,2460796.5,0.2749563928017707,3.999798475962358,9.017641866229049,154.3709801175534,192.9239064185435,319.3152022594365
 27561 ,2000 KJ1           ,27561 (2000 KJ1),12.44,2460796.5,0.2000843840595763,3.978205697375757,5.55636963594134,141.5266832831269,216.1060792764026,323.5205626630533
